Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Spain,National,"clean conditional","Actions for the improvement of the Cercanias rail network in 2020 (RRP)",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Spanish Recovery and Resilience Plan","To maximize the use of the collective transport services of the railway Cercanias systems, reducing the use of private vehicles in urban and metropolitan environments.",27/04/2021,27/04/2021,EUR,7500000,8561644,0,0,"The investment C1.I3 Actions for the improvement of the Cercanias rail network  is one of the investment programs of the Spanish Recovery and Resilience Plan. This investment program will receive a total investment of 7.5 million euros for the year 2020. The main actions will contribute to the improvement of the Cercanias rail infrastructures, improvement of train stations, adaptation of self-selling machines and digitalization of the rail network.
This investment program is part of the Component 1: Plan for sustainable, safe and connected mobility. 
The Spanish Recovery and Resilience Plan was presented in October 2020 and finally approved in April 2021. It will be financed by the European Recovery Fund (Next Generation EU).","https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente1.pdf (Accessed 31 May 2021)
, https://www.lamoncloa.gob.es/presidente/actividades/Paginas/2020/espana-puede.aspx (Accessed 31 May 2021)",
Spain,National,"clean unconditional","LEZ and transformation of metropolitan urban transport: improvement of urban environments of the State Highway Network (RRP)",Mobility,"active transport","active transport (cycling or walking)","budget or off-budget transfer (DT)","Spanish Recovery and Resilience Plan","To promote the mobility of pedestrians and cyclists, reduce the spaces dedicated to cars and reduce their speed.",27/04/2021,27/04/2021,EUR,105000000,119863014,0,0,"The investment C1.I1 Low Emissions Zone and transformation of the urban and metropolitan transport is one of the investment programs of the Spanish Recovery and Resilience Plan. This investment program has different lines of action: direct transfers to the Autonomous Communities, calls for local entities, subsidies for transport companies, aids for the State Highway Network, etc. In this case, the  projects  of improvement in urban environments of the State Highway Network will receive a total of 105 million € in order to carry out projects of humanization and calming of traffic on urban roads, promote the mobility of pedestrians and cyclists, other new forms of mobility (scooters), reduce the spaces dedicated to cars, slow down the speed of cars. These actions will be carries out by the General Directorate of Roads through direct investments.
This investment program is part of the Component 1: Plan for sustainable, safe and connected mobility. 
The Spanish Recovery and Resilience Plan was presented in October 2020 and finally approved in April 2021. It will be financed by the European Recovery Fund (Next Generation EU).","https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente1.pdf (Accessed 31 May 2021)
, https://www.lamoncloa.gob.es/presidente/actividades/Paginas/2020/espana-puede.aspx (Accessed 31 May 2021)",
China,Shaanxi,"other energy","Northern Shaanxi to Hubei ±800 kV UHV DC project","Power generation","multiple energy types","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","State Grid Shaanxi Electric Power",,04/04/2020,,CNY,18500000000,2680770903,0,0," This is one of the first demonstration projects of the ""UHV transmission upgrade"", with a total line length of 1,137 km and a rated transmission capacity of 8GW. It is a key project of the national ""13th Five-Year Plan"" power plan. The project is scheduled to be completed and put into operation in 2021, with an annual transmission capacity of 40 billion kilowatt-hours, which can effectively alleviate the mid-to-long-term power supply and demand contradiction in Hubei and Central China.",,"http://www.xinhuanet.com/finance/2020-06/09/c_1126093514.htm
, https://www.sohu.com/a/385462905_362042"
China,Shaanxi,"fossil unconditional","Yanchang Petroleum Yushen 500,000 tons/year coal-based ethanol project",Resources,coal,"exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Shaanxi Yanchang Petroleum Yushen Energy and Chemical Co., Ltd.","industrial restructuring",06/06/2020,,CNY,6980000000,1011447617,0,0,"Yanchang Petroleum Yushen's project is estimated to produce 500,000 tons per year of coal-based ethanol. The project is a key component of the company's long-term strategy on industrial restructuring, transformation, and upgrading.",,https://www.thepaper.cn/newsDetail_forward_7764132
China,Shaanxi,"fossil unconditional","Fugu Qingshuichuan Coal-Power Integrated Project Phase III","Power generation",coal,"electricity generation","budget or off-budget transfer (DT)","Shaanxi Investment Group  and  Shaanxi Coal Industry Chemical Group",,10/03/2020,,CNY,7036540000,1019640632,0,0,"This project is a key component of Shaanxi Province's 14th Five-Year-Plan. The Power Plant will have a ultra-supercritical air-cooling  coal-fired generating units with 2x1 million kilowatts capacity, a coal consumption of 4.85 Mt/a and will deliver reliable energy throughout the grid.",http://sxsnyj.shaanxi.gov.cn/NEWS/xmgz/VzI3Uz.htm,"https://www.seetao.com/details/35100/en.html
"
China,Guangdong,"fossil unconditional","Maoming-Yangjiang Trunk Line Project of Western Guangdong Natural Gas Trunk Pipeline Network",Resources,"gas and gas products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Jointly funded by the Yudean Group (on behalf of the People's Government of Guangdong Province), CNOOC, Sinopec, and CNPC",,05/03/2020,,CNY,3083700000,446848283,0,0,"The line is about 157.2 kilometers long, with 2 new stations and 8 valve chambers. This project is a sub-project of the pipeline of the Western Guangdong Natural Gas Main Pipeline Project, which is approximately 660 kilometers long. This project consists of 6 sub-projects, with a total investment of about 10.75 billion yuan.",http://drc.gd.gov.cn/attachment/0/388/388384/2956713.pdf,
Spain,National,"clean conditional","LEZ and transformation of metropolitan urban transport: transfers to Autonomous Communities (RRP)",Mobility,"multiple energy types","several energy stages","budget or off-budget transfer (DT)","Spanish Recovery and Resilience Plan","To reduce the use of private vehicles in the urban and metropolitan environment.",27/04/2021,27/04/2021,EUR,900000000,1027397261,0,0,"The investment C1.I1 Low Emissions Zone and transformation of the urban and metropolitan transport is one of the investment programs of the Spanish Recovery and Resilience Plan. This investment program has different lines of action: direct transfers to the Autonomous Communities, calls for local entities, subsidies por transport companies, etc. In this case, the direct transfers to Autonomous Communities accountos for a total investment of 900 million euros. They will be directed to actions such as the prioritization of collective transport, dissuasive parking, improvements in bus stations, improvements in rail transport, cycling infrastructure, pedestrian routes, accessibility in public transport, digitization of public transport, promotion of active and healthy mobility.
This investment program is part of the Component 1: Plan for sustainable, safe and connected mobility. 
The Spanish Recovery and Resilience Plan was presented in October 2020 and finally approved in April 2021. It will be financed by the European Recovery Fund (Next Generation EU).","https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente1.pdf (Accessed 31 May 2021)
, https://www.lamoncloa.gob.es/presidente/actividades/Paginas/2020/espana-puede.aspx (Accessed 31 May 2021)",
China,Hunan,"fossil unconditional","The Xiangtan-Loudi Refined Oil Pipeline Project",Resources,"oil and oil products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)",Sinopec,,04/03/2020,,CNY,500000000,72453268,0,0,"The project has been approved by the Hunan Province and  the headquarters of Sinopec; it is expected to complete the approval of the basic design of the project in November; and strive to start the construction of the facilities in the Shaoyang oil depot by the end of the year. The Xiangtan-Loudi Refined Oil Pipeline Project that has been put into production includes a new pipeline of approximately 129km in the Shaoyang section and 4 automatic control valve chambers. Among them, a new oil pump, a 10kv substation and supporting oil transportation facilities and equipment are built in the Shaoyang oil depot.",,http://m.kaisha88.com/sa011675454062675025105.html
Spain,National,"clean conditional","Climate Change and Energy Transition Law","Multiple sectors","multiple energy types","several energy stages","new or extended regulation (IT)","Ley 7/2021, de 20 de mayo, de cambio climático y transición energética.","To fight against climate change and energy transition.",13/05/2021,22/05/2021,EUR,0,0,0,0,"Following the legal and policy framework of the Paris Agreement and the PNIEC (National and Integrated Plan of Climate and Energy) Spanish Parliament has approved the Climate Change Law in order to have an established and strong framework around the fight against climate change and the energy transiton. This way, the Spanish government's commitment established in the PNIEC will have a legal basis. The main goals are to reduce GHG emission in 23% in 2030 compared to 1990, improve energy efficiency in 39.5% in 2030 and have 42% of renewable energy of the total energy consumption in 2030. The final goal is to decarbonise the Spanish society and economy by 2050. 
This Decree is also part of the Component 7. Massive deployment of the renewable generation park aimed at the development of renewable energy of the Spanish Recovery and Resilience Plan. Specifically it is measure C7.I2.","https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8447 (Accessed 17 May 2021)
, https://www.lamoncloa.gob.es/lang/en/gobierno/news/Paginas/2021/20210408climate-change.aspx (Accessed 17 May 2021)",
China,Hunan,"fossil unconditional","Changling to Changsha Huanghua International Airport Jet Fuel Pipeline Project",Mobility,"oil and oil products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)",Sinopec,"Business growth",04/03/2021,,CNY,960230000,139143603,0,0,"This pipeline will meet the business growth needs of the Changsha Huanghua International Airport. The The pipeline transportation capacity is designed to be able to transport  2.5 million tons/year with a total length of 222 kilometers. A total of 2 process stations and 10 line cut-off valve chambers are set up for the first station of Changling and the last station of Changsha on the whole line, and one valve chamber is reserved in Sanhe Township, Yueyang. ",http://www.ggzy.gov.cn/information/html/b/670000/0101/202101/08/00672c7e86dda5934546a0b886ab98a52dbb.shtml,http://www.sinopecnews.com.cn/news/content/2020-09/23/content_1823274.htm
Spain,National,"clean conditional","Plan MOVES III",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Royal Decree 266/2021, of April 13,","To promote electric mobility in such a way as to decarbonise the Spanish economy and develop a sustainable mobility system.",13/04/2021,15/04/2021,EUR,400000,456622,0,0,"The PLAN MOVES III (Efficient and Sustainable Mobility Incentive Program) is the third edition of the Plan MOVES, which is intented at promoting electrical mobility in diffirent ways. This current edition will have 2 main lines of action: 1) subsidies for buying electrical vehicles and  (with an additional bonus in case of delivering a scrap cart) and 2) subsidies for the installation of charging points. Moreover, additonal aids will be directed for disabled people or people with reduced mobility who need to adapt their vehicles, people who live in municipalities with fewer than 5,000 inhabitants and the self-employed in the taxi or VTC sector. 
The total budget for this Program is 400 million euros, which could be doubled if necessary. This Program will be managed by IDAE and the budget will be distributed to the Autonomous Communities. 
This Program is included in the Recovery and Resilience Plan (Component 1. Plan for Sustainable, Safe and Connected Mobility) and is also aimed at accomplishing the national and European climate goals which are included in the NPEC. 
This Program will be financed by the Next Generation EU Funds as a part of the Spanish Recovery and Resilience Plan. 
This program also includes to a smaller extent hybrid vehicles.","https://www.miteco.gob.es/es/prensa/ultimas-noticias/el-gobierno-aprueba-el-plan-moves-iii-que-repartir%C3%A1-400-millones-de-euros-ampliables-a-800-en-ayudas-directas-para-la-movilidad-sostenible/tcm:30-524988 (Accessed 19 April 2021)
, https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-5869 (Accessed 19 April 2021)
, https://www.lamoncloa.gob.es/temas/fondos-recuperacion/Documents/05052021-Componente1.pdf (Accessed 19 April 2021)
, https://www.lamoncloa.gob.es/presidente/actividades/Paginas/2020/espana-puede.aspx (Accessed 19 April 2021)",
Norway,National,"fossil unconditional","Green Technology Crisis Package: Increased funding to Norwegian Energy Partners (NORWEP)","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; support supply companies in the energy sector after oil price fall",29/05/2020,19/06/2020,NOK,20000000,2123368,0,0,"Increased funding to NORWEP (Norwegian Energy Partners): extra NOK 20 milion to NORWEP, which is a foundation that promotes internationalisation of Norwegian energy companies. The focus is support to energy supply companies (very important in this sector) that have been affected by the decrease of oil prices during the covid-crisis ",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"other energy","Green Technology Crisis Package: Hydrogen in Norway","Multiple sectors",hydrogen,"several energy stages","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; promote hydrogen use",29/05/2020,19/06/2020,NOK,120000000,12740206,0,0,"Strengthened focus on hydrogen in Norway: NOK 120 milions to the ENERGIX-programme of the Norwegian Reseach Council to promote innovation and transition for Norwegian business, with increased focus on hydrogen and building on Norway's hydrogen strategy",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"clean unconditional","Green Technology Crisis Package: Offshore wind","Power generation",wind,"electricity generation","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; develop supply chains and supply models for offshore wind",29/05/2020,19/06/2020,NOK,25000000,2654210,0,0,"Offshore wind research: Establishment of a new research centre for environmentaly friendly energy (FME, forskningssenter for miljøvennlig energi), investment of NOK 15 milion. Investment in a project linked to development of supply chains and supply models for offshore wind (NOK 10 million)",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"other energy","Green Technology Crisis Package: Green maritime transport",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","loan guarantee (Hybrid)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; support transition to low-emission maritime transport",29/05/2020,19/06/2020,NOK,3600000000,382206179,0,0,"Measures to green maritime transport: loan scheme under Innovation Norway. Loss provision of NOK 150 million with a total framework of NOK 300 milion. In addition 65 million research under the Maroff-programme with priority on green maritime transport and 20 million to facilitate development contracts for green ferries",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"other energy","Green Technology Crisis Package: Green transition in municipalities","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; support local and regional governments to promote GHG-reducing projects ",29/05/2020,19/06/2020,NOK,50000000,5308420,0,0,"Green transition in municipalities: support for projects that will cut greenhouse gas emissions and contribute to the green transition",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"clean conditional","Green Technology Crisis Package: low emission research","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; support green technology research",29/05/2020,19/06/2020,NOK,75000000,7962629,0,0,"Low emission research: research to reduce emissions in Norwegian businesses while increasing competitiveness  ",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"other energy","Green Technology Crisis Package: Green Platform","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown; support green technology development",29/05/2020,19/06/2020,NOK,1000000000,106168384,0,0,"Green platform: Over three years, NOK 1 billion will go into a “green platform” administered by the Research Council, Innovation Norway and Siva to perform reseach on ""green"" technologies. Companies will compete for the money to develop new climate technologies. This platform follows the EU taxonomy for sustainable activities
",""", https://www.regjeringen.no/contentassets/a29386c923894b9b91a8df7a0903fff2/no/pdfs/prp201920200127000dddpdfs.pdf
, https://www.regjeringen.no/no/aktuelt/ny-side5/id2704503/
, https://www.stortinget.no/no/Saker-og-publikasjoner/Saker/Sak/?p=80049""",
Norway,National,"other energy","Green Technology Crisis Package: ENOVA funding","Multiple sectors","multiple energy types","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Norwegian Government","Support and restructure Norwegian economy during economic slowdown and support green technology development to cut emissions",29/05/2020,19/06/2019,NOK,2000000000,212336767,0,0,"The purchase applies to flights where there is no basis for commercial operation. Airlines operating existing routes with a state contract (FOT routes), maintains the capacity of the route network until further notice",https://www.regjeringen.no/contentassets/764cd155a53042bcbb35cb857557d88c/no/pdfs/prp201920200057000dddpdfs.pdf,
Norway,National,"fossil conditional","Norwegian government funds CCS facility with NOK 16.8 billion","Multiple sectors","multiple fossil","reduced environmental damage","budget or off-budget transfer (DT)","Norwegian Government","Reduction of emissions by carbon capture",21/09/2020,,NOK,16800000000,1783628836,0,0,"The plan is to build CCS facilities at two sites: one at a cement factory and one at a waste-to-energy power plant. The Norwegian state will cover 16.8 billion NOK out of the total 25.1 billion",https://www.regjeringen.no/contentassets/943cb244091d4b2fb3782f395d69b05b/nn-no/pdfs/stm201920200033000dddpdfs.pdf,"https://web.archive.org/web/20200923072430/, https://www.regjeringen.no/en/aktuelt/the-government-launches-longship-for-carbon-capture-and-storage-in-norway/id2765288/"
"United Kingdom",national,"other energy","£166 million cash injection for green technology","Multiple sectors","multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)",,,24/05/2021,,GBP,166000000,212820513,0,0,"£166.5 million cash boost will drive forward developments in critical technology needed for a green industrial revolution including carbon capture, greenhouse gas removal and hydrogen.
Funding package will help benefit energy-intensive businesses like Tate & Lyle, BAE Systems and Celsa Manufacturing, creating over 60,000 well-paid green jobs across the UK, cutting business costs and helping to revitalise industrial heartlands","https://www.gov.uk/government/news/166-million-cash-injection-for-green-technology-and-60000-uk-jobs (Accessed 7 June 2021)",
"United Kingdom","City councils","clean unconditional","Nearly 60 councils promise to strengthen their Net Zero plans","Multiple sectors","multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","new or extended regulation (IT)","City councils","To neutralize council emissions by 2030 and neutralize inhabitant and corporate emissions by 2045",25/05/2021,,GBP,0,0,0,0,"The UK100 group of local governments and councils said this week that local leaders between nearly 60 political parties, which make up 35% of the UK’s population, have entered into a Net Zero Pledge that 57 councils explicitly promise to neutralize council emissions by 2030 and neutralize inhabitant and corporate emissions by 2045. ",,"https://autobala.com/nearly-60-councils-promise-to-strengthen-net-zero-plan/46553/ (Accessed 7 june 2021)"
"United Kingdom",London,"clean unconditional","London Mayor announces &#8216;retrofit revolution&#8217; for the capital",Buildings,"energy efficiency","energy efficiency","budget or off-budget transfer (DT)","Mayor of London","To create ultra-low carbon buildings, tackle the climate emergency and create green jobs",02/06/2021,,GBP,0,0,0,0,"The Mayor of London, Sadiq Khan, has declared a ‘retrofit revolution’ in London, announcing a new package of measures that will make buildings more energy efficient and tackle the climate emergency.
The Mayor’s new Innovation Partnership will make it easier for social landlords and UK building firms to work together to upgrade ageing homes in the capital. The scheme will link up housing providers and builders through all stages of home retrofitting, from planning through to large-scale delivery. This will dramatically increase the pace of projects that upgrade cold, damp housing stock to homes fit for the future. The partnership has the potential value of £10 billion in retrofit works, which would create around 150,000 jobs over the decade. The Innovation Partnership is open to social housing providers across the UK, with at least £5 billion estimated that could be spent in London.
As a key part of the Mayor’s target of reaching net zero by 2030, he is also seizing the opportunity for more solar energy on London’s rooftops. Sadiq’s energy programmes alone are expected to more than double the amount of clean energy London generates from solar, but more investment is needed to ensure the capital goes much further.","https://www.london.gov.uk/press-releases/mayoral/mayor-declares-a-retrofit-revolution (Accessed 7 June 2021)",
"United Kingdom","Birmingham City Council","fossil conditional","Birmingham launches its clean air zone",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","new or extended regulation (IT)","Birmingham City Council","To reduce emissions from car traffic",01/06/2021,14/06/2021,GBP,0,0,0,0,"A Clean Air Zone is an area where targeted action is taken to improve air quality, in particular by discouraging the most polluting vehicles from entering the zone. No vehicle is banned in the zone, but those which do not have clean enough engines will have to pay a daily charge if they travel within the area. 
The City Government decided on establishing the Clean Air Zone based on a need to reduce levels of NO2 in the air to a maximum average of 40μg/m3 as soon as possible. This was originally scheduled to go live in 2020; however, in response to the impact of Covid-19, the launch date was postponed and the zone went live on 1 June 2021.This was the first clean air zone in the UK to be established outside of London. ","https://www.birmingham.gov.uk/info/20076/pollution/1763/a_clean_air_zone_for_birmingham/3 (Accessed 7 June 2021)",
Canada,Alberta,"other energy","Alberta Zero-Emissions Truck Electrification Collaboration (AZETEC) Project &#8211; Emissions Reduction Alberta",Mobility,hydrogen,"energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Lower emissions and provide opportunities for economic development",03/06/2021,,CAD,7338782,5472619,0,0,"Emissions Reduction Alberta invested in the Alberta Zero-Emissions Truck Electrification Collaboration (AZETEC) project which aims to address barriers to fuel cell electric truck adoption. The funds will be used to install and test a hydrogen fueling station for commercial fleet vehicles. The project will assist in supporting the decarbonization of the heavy-duty freight transportation sector.","https://eralberta.ca/projects/details/alberta-zero-emissions-truck-electrification-collaboration-azetec/ Accessed 8 June 2021. ",
Canada,National,"other energy","Alberta Zero-Emissions Truck Electrification Collaboration (AZETEC) Project",Mobility,hydrogen,"energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Lower emissions and provide opportunities for economic development",03/06/2021,,CAD,2300000,1715138,0,0,"The Government of Canada invested in the Alberta Zero-Emissions Truck Electrification Collaboration (AZETEC) project which aims to address barriers to fuel cell electric truck adoption. The funds will be used to install and test a hydrogen fueling station for commercial fleet vehicles. The project will assist in supporting the decarbonization of the heavy-duty freight transportation sector.","https://www.canada.ca/en/natural-resources-canada/news/2021/06/canada-invests-in-hydrogen-fueling-station-for-commercial-fleet-in-alberta.html Accessed 11 June 2021. ",
Canada,National,"other energy","High-Efficiency Woodstoves in Nunatsiavut’s Diesel Communities",Buildings,"biofuels and waste","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Reduce diesel consumption",19/05/2021,,CAD,1340000,999255,0,0,"The Clean Energy for Rural and Remote Communities (CERRC) program invested funding into the installation of 240 high-efficiency woodstoves into Nunatsiavut communities. The purpose is to increase energy efficiency, reduce diesel use, and lower greenhouse gas emissions.","https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-invests-in-indigenous-clean-energy-projects-in-northern-newfoundland-and-labrador.html
, https://www.canada.ca/en/natural-resources-canada/news/2021/05/investing-in-indigenous-clean-energy-projects-in-newfoundland-and-labrador.html Accessed 11 June 2021",
Canada,National,"clean conditional","Nain Remote Micro Grid FEED Study","Power generation","multiple energy types","electricity generation","budget or off-budget transfer (DT)","Government of Canada","Reduce diesel consumption",19/05/2021,,CAD,1315220,980776,0,0,"The Clean Energy for Rural and Remote Communities (CERRC) program invested funding into the Nain Remote Micro Grid FEED Study. The purpose of the study is to develop a microgrid incorporating wind generation, energy storage, smart meters, and a microgrid controller into existing generation grid running on diesel.","https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-invests-in-indigenous-clean-energy-projects-in-northern-newfoundland-and-labrador.html
, https://www.canada.ca/en/natural-resources-canada/news/2021/05/investing-in-indigenous-clean-energy-projects-in-newfoundland-and-labrador.html Accessed 11 June 2021.",
Canada,National,"other energy","Nunatsiavut Firewood Supply Chain Network","Other sector","biofuels and waste","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Reduce diesel consumption",19/06/2021,,CAD,190433,142009,0,0,"The Clean Energy for Rural and Remote Communities (CERRC) program invested funding into the Nunatsiavut Firewood Supply Chain Network. This pilot project provides affordable firewood to the residents of Nunatsiavut as an alternative fuel source to diesel. ","https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-invests-in-indigenous-clean-energy-projects-in-northern-newfoundland-and-labrador.html Accessed 11 June 2021. ",
Canada,National,"clean unconditional","Green Municipal Fund Investment in Energy Efficiency in PEI and Nova Scotia","Multiple sectors","energy efficiency","energy efficiency","budget or off-budget transfer (DT)","Government of Canada","Lower emissions and increase resiliency of communities",19/05/2021,,CAD,14100000,10514542,0,0,"The Government of Canada is investing $14.1 million through the FCM's Green Municipal Fund into communities in PEI and Nova Scotia. The funds will be used towards PACE Maritimes to finance energy efficiency, renewable energy, and energy storage. ","https://www.canada.ca/en/natural-resources-canada/news/2021/05/canada-and-fcm-invest-in-energy-efficiency-in-prince-edward-island-and-nova-scotia.html Accessed June 11 2021. ",
Canada,National,"clean unconditional","Partnership to develop industrial roadmap for Low-Carbon Concrete Production",Resources,"energy efficiency","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Provide Canadian industry with guidance on technologies, tools and policies needed to reach net‑zero carbon concrete by 2050",31/05/2021,,CAD,0,0,0,0,"The Government of Canada has partnered with Canada's cement sector to support the development and implementation of a ""Roadmap to Net-Zero-Carbon Concrete"". This work will provide Canadian cement and concrete industry with the technologies, tools, and policy needed to achieve net-zero carbon concrete by 2050. ","https://www.canada.ca/en/innovation-science-economic-development/news/2021/05/government-of-canada-and-cement-association-of-canada-announce-partnership-to-advance-global-leadership-in-low-carbon-concrete-production.html
, https://www.ic.gc.ca/eic/site/icgc.nsf/eng/07730.html Accessed 11 June 2021",
Canada,"British Columbia","clean conditional","Weight allowance increase and incentive for low-carbon commercial vehicles",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of British Columbia","Incentivize low-carbon commercial transport",14/05/2021,,CAD,0,0,0,0,"The B.C. government is expanding weight allowances for low-carbon commercial vehicles. B.C. is offering a 1,500 kg allowance to electrically powered, full-sized commercial vehicles and a 1,000 kg allowance to hydrogen-powered vehicles. To further support broad adoption, the government will make increases to maximum gross combination vehicle weight, up to 65,000 kg and 64,500 kg respectively. This is consistent with allowances already made for liquified natural gas (LNG) and compressed natural gas (CNG) fuelled trucks and buses. This move is intended to support the Province’s CleanBC goal of ensuring an increased portion of vehicles on B.C. roads are powered by electricity, hydrogen and renewables. To track how many vehicles use extra weight, initially allowances will be available through letters of authorization. Following a 90-day notice period, CNG, LNG and LNG/diesel bi-fuelled vehicles will also be required to obtain letters of authorization.","https://news.gov.bc.ca/releases/2021TRAN0035-000920 Accessed 20 May 2021. ",
Canada,National,"fossil conditional","Airport Relief Fund",Mobility,"oil and gas","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Financial relief to Canada's airports ",11/05/2021,,CAD,64800000,48322148,0,0,"The Airport Relief Fund is a new contribution funding program to provide $64.8 million in financial relief to Canada’s airports that are struggling with the financial impact of reduced air travel due to the COVID‑19 pandemic. The Airport Relief Fund will provide immediate financial assistance to targeted eligible airports to help maintain operations and mitigate the risk of airport insolvency.","https://www.canada.ca/en/transport-canada/news/2021/05/airport-relief-fund.html Accessed 20 May 2021. ",
Canada,National,"fossil conditional","Enhancement of the Airports Capital Assistance Program",Mobility,"oil and gas","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Government of Canada","Provide financial assistance to regional airports for safety-related capital infrastructure projects",11/05/2021,,CAD,186000000,138702461,0,0,"The existing Airports Capital Assistance Program is receiving a one-time top-up funding of $186 million over two years ($93 million in 2021-2022, and $93 million in 2022-2023). This financial support is directed at Canada’s smaller airports and is intended for safety improvements. Eligibility for ACAP has also been temporarily expanded over the next two years to allow National Airport System airports with less than one million annual passengers in 2019.",https://www.canada.ca/en/transport-canada/news/2021/05/enhancement-of-the-airports-capital-assistance-program.html,
